delegate,voting_power
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2535188.1791617624
0x429f9ada43e9f345cbb85ec88681bb70df808892,2072278.1319442475
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,1811986.8136808712
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1516648.3688652464
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,1023742.5739953078
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,880386.5611938027
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,829065.0630056529
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,823923.9897988122
0xa6e8772af29b29b9202a073f8e36f447689beef6,738966.7452209095
0x45a10f35befa4ab841c77860204b133118b7ccae,633941.1167394888
0x8f73be66ca8c79382f72139be03746343bf5faa0,591080.9259875049
0x6cea573473348367a5f66e0f261bfa25799e6a60,549576.9425066949
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,466379.9511389045
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,405620.0169936369
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,393446.8596237321
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,383319.4254797766
0x13838884271ec954cb036d0b29d404afab5eae2a,379293.5241162806
0x7ae109a63ff4dc852e063a673b40bed85d22e585,348621.1925102416
0xdb5781a835b60110298ff7205d8ef9678ff1f800,347483.9112550879
0x9e26e1b35164afb1332592af393edf5f2a2c7f51,266319.0032321399
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,263406.13669297844
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,261600.633108103
0xd23199f1222c418ffc74c385171330b21b16e452,246816.13259570207
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,242514.62424853985
0xdab0d648a2a771e6952916a822dddf738b535f5a,222856.6908000121
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,201713.5654350888
