delegate,voting_power
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2673673.7484526755
0x429f9ada43e9f345cbb85ec88681bb70df808892,2122848.555422791
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,2045100.376052725
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1626841.878847935
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,1066740.003237862
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,958321.0113099276
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,937711.0394961644
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,937024.3787143552
0xa6e8772af29b29b9202a073f8e36f447689beef6,837318.6097169903
0x8f73be66ca8c79382f72139be03746343bf5faa0,685148.1309690034
0x45a10f35befa4ab841c77860204b133118b7ccae,685113.7850697954
0x6cea573473348367a5f66e0f261bfa25799e6a60,592373.6450596438
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,476783.69982687774
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,464479.0115637717
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,439028.2530384206
0xdb5781a835b60110298ff7205d8ef9678ff1f800,436902.4791739088
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,423625.6691608101
0x13838884271ec954cb036d0b29d404afab5eae2a,413739.4215488507
0x7ae109a63ff4dc852e063a673b40bed85d22e585,376731.8241360527
0xd23199f1222c418ffc74c385171330b21b16e452,328303.0447660745
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,312075.75948321755
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,309136.4458147304
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,274095.2299950324
0x9e26e1b35164afb1332592af393edf5f2a2c7f51,266319.0032321399
0xdab0d648a2a771e6952916a822dddf738b535f5a,237849.0213591028
0xb7abf554aefd4686639afcf2a653adfda3d9b038,226324.0464098976
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,208727.3118179737
0x62a43123fe71f9764f26554b3f5017627996816a,200353.9129330729
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,183797.34428586595
0x7899d9b1181cbb427b0b1be0684c096c260f7474,181404.95471945865
0x94db037207f6fb697dbd33524aadffd108819dc8,167073.60297347096
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,153594.07887645857
0x0331969e189d63fbc31d771bb04ab44227d748d8,151915.41104876166
0x062a07cbf4848fda67292a96a5e02c97e402233f,151794.12625918805
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,151515.94374168984
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,150120.64857820823
0xeef440ea127a0aabf70601c6c68c425c29d02018,140805.22875812236
0x1372eda77df5a048db8af4db3d8680ff56388824,125027.87065945678
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,116632.3750231725
