delegate,voting_power
0x406b607644c5d7bfda95963201e45a4c6ab1c159,2152407.7538311286
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2048153.619283876
0x429f9ada43e9f345cbb85ec88681bb70df808892,1761866.4637741044
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,1383031.0878976888
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1304710.5127522738
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,916099.0771941444
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,746024.6982147138
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,702134.1512429897
0xa6e8772af29b29b9202a073f8e36f447689beef6,565860.0324340125
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,550110.4198903696
0x45a10f35befa4ab841c77860204b133118b7ccae,542367.9712723094
0x8f73be66ca8c79382f72139be03746343bf5faa0,480404.9316200621
0x6cea573473348367a5f66e0f261bfa25799e6a60,439125.4424889368
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,399357.27257816045
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,326588.33461797447
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,304086.0940180884
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,297901.2775787086
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,296411.03486055
0x4f41877773e44f2275da1942fee898556821bf66,286430.0558751783
0x7ae109a63ff4dc852e063a673b40bed85d22e585,285507.0796924185
0x9e26e1b35164afb1332592af393edf5f2a2c7f51,265284.55892882333
0x13838884271ec954cb036d0b29d404afab5eae2a,233504.16734072776
0xdb5781a835b60110298ff7205d8ef9678ff1f800,226784.04875009684
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,221256.19919202616
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,205244.21970538708
0xdab0d648a2a771e6952916a822dddf738b535f5a,189624.54830172384
0xb7abf554aefd4686639afcf2a653adfda3d9b038,167974.4097922998
0xd23199f1222c418ffc74c385171330b21b16e452,160945.929868699
0x62a43123fe71f9764f26554b3f5017627996816a,160805.67715185642
0xfc61965861b679c5aa728d41fa6ea0b29544f554,149899.52836605028
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,135311.32556746787
