delegate,voting_power
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2478400.686676531
0x406b607644c5d7bfda95963201e45a4c6ab1c159,2142350.885004329
0x429f9ada43e9f345cbb85ec88681bb70df808892,1857594.9116745344
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,1442158.3074799438
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1311081.0430932865
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,905434.0931336356
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,779045.721766709
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,738477.1866900253
0xa6e8772af29b29b9202a073f8e36f447689beef6,629941.9287298268
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,601963.2001971932
0x45a10f35befa4ab841c77860204b133118b7ccae,552133.923559895
0x8f73be66ca8c79382f72139be03746343bf5faa0,508246.77129797207
0x6cea573473348367a5f66e0f261bfa25799e6a60,459567.0314521879
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,405044.4034377197
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,342940.7590649036
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,337195.64902981766
0x4f41877773e44f2275da1942fee898556821bf66,330930.419554965
0x7ae109a63ff4dc852e063a673b40bed85d22e585,325080.89265944646
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,319287.077113533
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,312906.2706242367
0x62a43123fe71f9764f26554b3f5017627996816a,281748.13869604777
0x9e26e1b35164afb1332592af393edf5f2a2c7f51,265288.2988991313
0x13838884271ec954cb036d0b29d404afab5eae2a,260687.04411961176
0xdb5781a835b60110298ff7205d8ef9678ff1f800,241107.2021012398
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,229932.6511974401
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,227865.11455449808
0xd23199f1222c418ffc74c385171330b21b16e452,202297.7815348088
0xdab0d648a2a771e6952916a822dddf738b535f5a,189572.58353424488
0xb7abf554aefd4686639afcf2a653adfda3d9b038,166328.3510891024
0xfc61965861b679c5aa728d41fa6ea0b29544f554,154760.950782995
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,152310.15506268753
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,151593.8398093641
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,138246.46321273185
0x523d007855b3543797e0d3d462cb44b601274819,134418.88420130653
0x062a07cbf4848fda67292a96a5e02c97e402233f,128865.21506062648
0x7899d9b1181cbb427b0b1be0684c096c260f7474,124384.47294515451
0x94db037207f6fb697dbd33524aadffd108819dc8,123875.07070081636
0xeef440ea127a0aabf70601c6c68c425c29d02018,116044.83099496124
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,110244.5269872538
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,105327.1649059589
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,95849.89074468012
0x7ad41e9d6e1fa47f1f6bcc63bd0327009590a47b,94393.87356382988
0xb55a948763e0d386b6defcd8070a522216ae42b1,93395.8207262516
0x0331969e189d63fbc31d771bb04ab44227d748d8,93044.3745453917
0x1372eda77df5a048db8af4db3d8680ff56388824,89917.56443414518
0x70d95a4e6f514149af97de9a107d12bf1cf57169,88239.42018560521
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,79300.30226568291
0x1d1a13b16667c284b87de62caeeff0ce89e342b2,66850.10481411642
0xe8b22a88deb45c7848d394fd039b8d811511a9f3,57845.05604329815
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,57808.312121071904
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,57461.81181547495
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,54697.41636951314
0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,46765.827750099605
0xc20687cd6fff6bcfe8032fda567c35f55543c2ac,44481.71663412285
0x4ac799e9b0e252bc45d499857c84809a5a444ae0,42001.78373351888
0xdf629daa1e3a099d4c87d7ba855e9561d2300032,41730.7777246944
0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,40115.4332855136
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,32457.18060991504
0x6fc69da059944b4895d65f385b9a26b1285cab88,32381.77763062088
0xe7589a9435e27bf1443ebb279083f044c054e9fe,28609.571485971966
