delegate,voting_power
0x406b607644c5d7bfda95963201e45a4c6ab1c159,2325550.7742592264
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,1766445.5759459755
0x429f9ada43e9f345cbb85ec88681bb70df808892,1561358.394507275
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1007519.5092780248
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,964093.2847998792
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,865637.4378366567
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,638982.5772612861
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,615086.1826865015
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,467846.9298694954
0xa6e8772af29b29b9202a073f8e36f447689beef6,452821.2862564748
0x45a10f35befa4ab841c77860204b133118b7ccae,424644.0544543083
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,395739.03517050017
0x8f73be66ca8c79382f72139be03746343bf5faa0,384693.14338174736
0xd1c5980984bdbb0061b842fa81b3d38859850c39,339974.83480587346
0x6cea573473348367a5f66e0f261bfa25799e6a60,338286.4226847348
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,275716.4505550924
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,266450.10552636354
0x7ae109a63ff4dc852e063a673b40bed85d22e585,256319.75215680897
0x62a43123fe71f9764f26554b3f5017627996816a,246882.9309709661
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,223746.5077234488
0x13838884271ec954cb036d0b29d404afab5eae2a,222401.43047109604
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,216155.48303887984
0xdb5781a835b60110298ff7205d8ef9678ff1f800,182932.92587483127
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,167657.56739070176
0xd23199f1222c418ffc74c385171330b21b16e452,145414.29962687418
0xdab0d648a2a771e6952916a822dddf738b535f5a,144533.26710420987
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,141438.47648640806
0xb7abf554aefd4686639afcf2a653adfda3d9b038,140022.01680327405
0x523d007855b3543797e0d3d462cb44b601274819,121986.13917529948
0x7899d9b1181cbb427b0b1be0684c096c260f7474,116105.7088041822
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,115629.3097820588
0xf0ea58b65c82c48ce69f0abd68d178e7764c4ba2,109754.60878775202
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,103157.44190076482
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,101145.95910388869
0xeef440ea127a0aabf70601c6c68c425c29d02018,96461.38346119864
