delegate,voting_power
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,3177701.5900593246
0x429f9ada43e9f345cbb85ec88681bb70df808892,2706786.0668374724
0x406b607644c5d7bfda95963201e45a4c6ab1c159,2130830.1694413926
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,1859940.525809108
0x4f41877773e44f2275da1942fee898556821bf66,1694251.755106698
0xa6e8772af29b29b9202a073f8e36f447689beef6,1503497.5440469675
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1470434.9256460224
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,1355229.095558233
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,1135430.991069642
0xb55a948763e0d386b6defcd8070a522216ae42b1,1095585.9736900714
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1087351.5296374008
0x80fc5137886375e7e5c9fbaaf3f1bfcf86bce482,1031667.1982530917
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,1023801.884458928
0x8ccde64d05a7677d80a5960cb75fb8de486cf98d,1012348.3474359864
0x2b7839e74e8a9145e594810508006b3e856088f8,1003336.9310378728
0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4,1002682.964226215
0x11cf2f033b079fbb195425bfcb7d5dac4db2d752,1001656.3351914582
0x3fb19771947072629c8eee7995a2ef23b72d4c8a,1000843.6068045064
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,971409.1196660292
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,931105.0813328592
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,871423.1742956152
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,744495.1724843463
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,740996.4027857111
0x8f5415415d9200ccd8523f3ee88f96f476141cc3,696656.4525387733
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,691141.3082738542
0x8f73be66ca8c79382f72139be03746343bf5faa0,504242.9738994431
0x3471884f189fd7c63fe8c83601d28ce0cc1b3853,483076.9980030384
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,470574.5088426116
0xd1c5980984bdbb0061b842fa81b3d38859850c39,456834.5912660658
0xb074ec6c37659525eef2fb44478077901f878012,444600.6623382239
0xdb5781a835b60110298ff7205d8ef9678ff1f800,431683.320587988
0x45a10f35befa4ab841c77860204b133118b7ccae,378827.65761384746
0x13838884271ec954cb036d0b29d404afab5eae2a,377709.82005030935
0x6cea573473348367a5f66e0f261bfa25799e6a60,356716.41580040066
0xc94ae9860b37170c08e51f453f8124a86cd7c0cd,341615.3020353906
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,328209.7304059058
0xb7abf554aefd4686639afcf2a653adfda3d9b038,300922.01772733446
0x62a43123fe71f9764f26554b3f5017627996816a,284316.7018191201
0x7ae109a63ff4dc852e063a673b40bed85d22e585,280917.6238498448
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,278626.6004238366
0xc70abe97baf38782fa479b23311b611d0e82076b,263160.6850010797
0xaa31cb426e2c83cda9c850874d166d7fca836b14,259604.57214237747
0x13debc7a8ef08a97531d0f9a7eabf2b0271c5054,252105.4976160081
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,224326.8000017447
0x71672e0d7d13384cf01737a68740733e852e8e98,204923.0895041824
0x5ab0fdc6f0ca9ea178c95ceccf944a4ce1aedddd,200180.7314201598
0xc17a59dc5fc0df4853ee71e6dd7640e5e4954f0f,199973.46359419965
0xeb1afebd776c9669ce0eb3cb2e14346751223c60,199886.063212384
0x8932eb23bad9bddb5cf81426f78279a53c6c3b71,199883.0195013669
0x2f30c18491435cb8bf24047d3398167ac327f750,199860.4775262892
0x59761d97585985a4dabeea984eefc0aa18ac02a8,199805.0748760721
0x8d5579eda0d6f0515c833ebd36bbaf116e11613a,199774.35853311
0x20f3880a281092dbc6699e5d5a0ff5feb3d3db1a,199682.3246687976
0x5c070a099b0e02a6ae56883ff5b657129cbcb6e5,199643.0135716796
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,160117.23133625012
0x94db037207f6fb697dbd33524aadffd108819dc8,159089.1969729467
0xd23199f1222c418ffc74c385171330b21b16e452,155010.12901431535
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,146005.929866309
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,144234.96473017716
0xeef440ea127a0aabf70601c6c68c425c29d02018,135105.34721425045
0xdab0d648a2a771e6952916a822dddf738b535f5a,128077.37852833062
0x7899d9b1181cbb427b0b1be0684c096c260f7474,121548.07717241911
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,107831.128356021
0xfc61965861b679c5aa728d41fa6ea0b29544f554,94456.9650005242
0x0f97258b5b506b210ba05f4c1f3c3cf84cc44496,93970.05150293453
0x0331969e189d63fbc31d771bb04ab44227d748d8,86099.40708370775
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,81056.80259463296
0xc420c9d507d0e038bd76383aaadcad576ed0073c,79037.77434768892
0x062a07cbf4848fda67292a96a5e02c97e402233f,75650.0635762712
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,73685.53184416529
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,73112.75411964694
0xe48c655276c23f1534ae2a87a2bf8a8a6585df70,69830.70514320476
0x7110d94153ccbf0a6f9d11527648549516b4c809,67190.67378092592
0xad16ebe6ffc7d96624a380f394cd64395b0c6144,65568.78578241111
0x1d1a13b16667c284b87de62caeeff0ce89e342b2,60393.39939093226
0xd0214b7e8a7821a5cb07024bc00d64ece8cc1067,55231.3134921582
0x1372eda77df5a048db8af4db3d8680ff56388824,54003.34154872529
0xdf629daa1e3a099d4c87d7ba855e9561d2300032,51633.1492011679
0x523d007855b3543797e0d3d462cb44b601274819,50729.03125556925
0xa3ebc4a674ac613f797b45b4bdc1c1ddab13836a,47536.19558319663
0x70d95a4e6f514149af97de9a107d12bf1cf57169,45715.24292506865
0x4ac799e9b0e252bc45d499857c84809a5a444ae0,45196.22931428741
0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,44832.148048702
0xd3efbc65713c307d3057b7e0979a996f6a9799ac,41378.54835128693
0xeb40a065854bd90126a4e697aea0976ba51b2ee7,41177.02827965574
0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,41027.675727937705
0x6fc69da059944b4895d65f385b9a26b1285cab88,38953.05829473401
0x1dd174bf2e090d0f1b1360ac8905780429b2642b,36981.41592479107
0x0b846d075512953b1764b9f78af1e268923de6da,34548.20149058493
0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,34015.40050857924
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,33078.611885675935
0xc20687cd6fff6bcfe8032fda567c35f55543c2ac,32927.672003747044
0xc3fdadbae46798cd8762185a09c5b672a7aa36bb,32045.32202037646
0x0e66cf7a7e7a7f4574670f6c2c9d463e1478a06c,30518.3986105489
0x33d66941465ac776c38096cb1bc496c673ae7390,30509.93567958647
0xfdfc6e1bbec01288447222fc8f1aee55a7c72b7b,30284.190080515826
0xc323ee1d28d2508667f4bebfc26f93c60abdd203,30072.56556157922
0xb2fb83fcf40cdb8c22e39ee81c25fcc3f84d35ed,29678.147564653664
0x049e37b4276b58db622ab5db2ff2affcb40dc11c,28819.514311875137
0xbec643bd5b7f5e9190617ca4187ef0455950c51c,27014.21464213886
0x2345f4e0cdf00d427d773413dd4617d0156c29a9,25065.15822117618
0x6bb6c0be4847e1432130353af693e33c66778f3e,24819.55206981139
0x17296956b4e07ff8931e4ff4ea06709fab70b879,22386.15099806801
0xfd4f24676ed4588928213f37b126b53c07186f45,22173.09091158372
0xe7589a9435e27bf1443ebb279083f044c054e9fe,20571.58727254632
0x88bd639d6b029596b029c61490f29f57b0bf4a3f,20213.1314976446
0xb7f2ebeeef189188a463df4c67264118a3cae68c,20173.0032269826
0x2fd8bd701461684957a9d6a9d15f9d5cbf17a58d,20155.816900059213
0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b,20111.47322190273
0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,20087.838737147154
0xcbf407c33d68a55cb594ffc8f4fd1416bba39da5,20049.051717260147
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,19770.229959887336
0x8d07d225a769b7af3a923481e1fdf49180e6a265,18970.913988284206
0xf25b572bdab1eb4ff039ca98c7a8928f90789513,17027.746005469326
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,16992.42779739811
0x0b411e641a36be7a99f9a86c2fbb8eec3ee560f3,16320.805637996922
0xe36e5afd431bbfd23598d2c37b018d2bde5eb5e1,15662.754070169522
0x46a929e95c585e23d411b452ca14568da143901b,15652.647969667214
0xc2490d220419acdced68428ac413c8483d08d1ab,15358.508834083514
0xc4884736a39c8b0d1d88a23bb2cc15ee0886fec3,15347.756673646192
0xccc4e8ad313df8150211b1b934725345924ab81d,14294.205854994036
0xf3fe8c6c75be4afb2f8200fc77339abe4d7cff33,14256.989308439835
0x38e77e487518851f47e8470433d69f3119304d7c,14250.16486686001
0x265c328bf0cad7f6fcddd375a4c02754963e3a2e,14094.544590652536
0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5,13400.89778862533
0xf08979c344bc81ae1d0c3b5d15370266bdeea315,13272.372558718713
0x025376e7e7f161a198fb5fc90a220a553836d11a,13097.892398295908
0x0dfc45e84747c1f2810af77edb65a1a67bd8860a,12497.43987633572
0xe31b7439693889cae4490eb6e7ca88fb23b1d11b,12315.35885843348
0xe626e8ca82603e3b44751f8562b5ed126d345140,12161.269054014214
0x9c8984a1b26ea82ffcc7a4ef058b303a85b7fa25,11968.00581255218
0xafd5f60aa8eb4f488eaa0ef98c1c5b0645d9a0a0,11701.4895248445
